"Fooman Selftests","Fooman Selftests"
"Fooman Extensions","Fooman Extensions"
"Support","Support"
"Extensions Installed","Extensions Installed"
"Here you can find a list of all Fooman extensions currently installed on your system.","Here you can find a list of all Fooman extensions currently installed on your system."
